0	-1	-1
0.1	-1.094680215	-0.8905507316
0.2	-1.177564514	-0.7647598785
0.3	-1.247233602	-0.6270220216
0.4	-1.302727646	-0.4820380953
0.5	-1.34354939	-0.3342758517
0.6	-1.369618156	-0.1875413709
0.7	-1.381189336	-0.04472274079
0.8	-1.37875728	0.09228909562
0.9	-1.362957811	0.222537393
1	-1.334481667	0.3458495382
1.1	-1.294005399	0.4626505817
1.2	-1.242140975	0.5737776401
1.3	-1.179402951	0.6803162525
1.4	-1.106190721	0.7834645647
1.5	-1.022782977	0.8844211813
1.6	-0.9293425849	0.9842863298
1.7	-0.8259315356	1.083966753
1.8	-0.7125348375	1.184061412
1.9	-0.5890995782	1.284724776
2	-0.4555857205	1.385487087
2.1	-0.3120414652	1.485027017
2.2	-0.1587005644	1.580917131
2.3	0.003895573713	1.669362958
2.4	0.1747480163	1.745031538
2.5	0.3522489926	1.801083659
2.6	0.5340466874	1.829590053
2.7	0.7169776674	1.822456184
2.8	0.8971195555	1.772871863
2.9	1.070005283	1.677039028
3	1.231002746	1.535642537
3.1	1.375801608	1.354427523
3.2	1.500894594	1.143482863
3.3	1.603925931	0.9153702249
3.4	1.683821176	0.6827640977
3.5	1.740690827	0.4564111886
3.6	1.775570366	0.2439523551
3.7	1.790091093	0.04969066885
3.8	1.78616472	-0.1249537787
3.9	1.765732605	-0.2806726856
4	1.73059464	-0.4194796798
4.1	1.682310948	-0.5440652962
4.2	1.622158352	-0.6573457113
4.3	1.551122895	-0.7621865437
4.4	1.469913078	-0.861256658
4.5	1.37898335	-0.9569641013
4.6	1.278560882	-1.051434095
4.7	1.168676144	-1.146500405
4.8	1.049190195	-1.243678314
4.9	0.9198315501	-1.344111322
5	0.7802367692	-1.448452871
5.1	0.6300103319	-1.556680914
5.2	0.4688025092	-1.667814007
5.3	0.2964260016	-1.779525762
5.4	0.1130128867	-1.887694346
5.5	-0.08078518594	-1.985958151
5.6	-0.2835567039	-2.065481223
5.7	-0.4928898382	-2.115210275
5.8	-0.7051988157	-2.12297433
5.9	-0.9157096955	-2.077622294
6	-1.118704579	-1.971941878
6.1	-1.308062127	-1.80546485
6.2	-1.478018022	-1.585845996
6.3	-1.623947737	-1.327847697
6.4	-1.742929648	-1.050097749
6.5	-1.833925442	-0.7709649086
6.6	-1.897574261	-0.5052005068
6.7	-1.93573422	-0.2623187779
6.8	-1.950950651	-0.04667989946
6.9	-1.945991977	0.141390352
7	-1.923516947	0.3041733589
7.1	-1.885879477	0.4453052122
7.2	-1.835040902	0.5688838728
7.3	-1.772553346	0.6789314658
7.4	-1.699582528	0.7791263845
7.5	-1.616947992	0.8727086748
7.6	-1.525167425	0.9624797117
7.7	-1.424498431	1.050844514
7.8	-1.314976564	1.13985689
7.9	-1.196447025	1.231250199
8	-1.068599902	1.326429502
8.1	-0.9310004557	1.426411285
8.2	-0.7831401174	1.531695186
8.3	-0.624492075	1.642032907
8.4	-0.454607605	1.756092598
8.5	-0.2732430118	1.87100497
8.6	-0.08054019382	1.981824976
8.7	0.122738625	2.081042227
8.8	0.3349413411	2.158370986
8.9	0.5532634441	2.201194025
9	0.77358001	2.196076427
9.1	0.9904898439	2.131472412
9.2	1.197675248	2.001175147
9.3	1.388593221	1.80724225
9.4	1.557366528	1.560834201
9.5	1.699614064	1.280136199
9.6	1.812950726	0.9860755751
9.7	1.89702463	0.6977003272
9.8	1.953154181	0.4290176078
9.9	1.983755766	0.1879830724
10	1.991763854	-0.02278519761
10.1	1.980170657	-0.2044676812
10.2	1.951728052	-0.3604481594
10.3	1.90879327	-0.4950649207
10.4	1.853277396	-0.6128015811
10.5	1.786655387	-0.7178491007
10.6	1.71000612	-0.8139226628
10.7	1.624062587	-0.9042280298
10.8	1.529261201	-0.9915003515
10.9	1.425785498	-1.078068927
11	1.313604486	-1.165913487
11.1	1.192504147	-1.256698449
11.2	1.062121823	-1.351760481
11.3	0.9219777136	-1.452044329
11.4	0.7715243688	-1.557955331
11.5	0.6102103272	-1.669119806
11.6	0.4375742582	-1.784017593
11.7	0.253384473	-1.899504017
11.8	0.05782830485	-2.010256543
11.9	-0.1482453994	-2.108278873
12	-0.3630450473	-2.182744348
12.1	-0.5835736118	-2.22056123
12.2	-0.8054779523	-2.208075747
12.3	-1.023129271	-2.134006842
12.4	-1.230038431	-1.993012855
12.5	-1.4196039	-1.788501068
12.6	-1.586034368	-1.533090567
12.7	-1.725165905	-1.246064053
12.8	-1.834907928	-0.9487676726
12.9	-1.915209667	-0.6599860809
13	-1.967639528	-0.3930226478
13.1	-1.994784798	-0.154999531
13.2	-1.999670912	0.05219810862
13.3	-1.985317794	0.2302811148
13.4	-1.954462411	0.3829571053
13.5	-1.909423315	0.5147248557
13.6	-1.852062772	0.6301199729
13.7	-1.783805149	0.7333231357
13.8	-1.705681495	0.8280090647
13.9	-1.61838157	0.9173323421
14	-1.52230376	1.003978059
14.1	-1.41759877	1.090228512
14.2	-1.304206089	1.178022777
14.3	-1.181888236	1.268985093
14.4	-1.050259927	1.364411779
14.5	-0.9088266019	1.465195202
14.6	-0.7570302323	1.571674108
14.7	-0.5943165102	1.683369489
14.8	-0.4202360118	1.798615393
14.9	-0.2345845032	1.914061633
15	-0.03760027851	2.024112051
15.1	0.1697843325	2.120451509
15.2	0.3856637587	2.191934705
15.3	0.6068995006	2.225256018
15.4	0.8289859165	2.206796864
15.5	1.046163087	2.125679171
15.6	1.25187113	1.977352645
15.7	1.439530353	1.766243188
15.8	1.603471681	1.505904106
15.9	1.739729342	1.216157192
16	1.846438489	0.9183616322
16.1	1.923752083	0.6308797592
16.2	1.973387707	0.3663836339
16.3	1.998017428	0.131374107
16.4	2.000695925	-0.07274591916
16.5	1.984432616	-0.2479946331
16.6	1.951931271	-0.3982362888
16.7	1.905467172	-0.5280217041
16.8	1.846857504	-0.6418766382
16.9	1.777484256	-0.7439418534
17	1.698340692	-0.8378421906
17.1	1.610083912	-0.9266835191
17.2	1.5130842	-1.013106525
17.3	1.407467889	-1.099356684
17.4	1.293154734	-1.187339045
17.5	1.169888462	-1.278646923
17.6	1.037272091	-1.374540014
17.7	0.8947989142	-1.475864029
17.8	0.7419083322	-1.582889571
17.9	0.5780491199	-1.695041406
18	0.4027873726	-1.810509586
18.1	0.2159523462	-1.925747739
18.2	0.01783754598	-2.034908223
18.3	-0.190543286	-2.129388297
18.4	-0.4071730091	-2.197777412
18.5	-0.628780863	-2.226625768
18.6	-0.8507261371	-2.20241917
18.7	-1.067141147	-2.11473517
18.8	-1.271421374	-1.959814685
18.9	-1.45703151	-1.743028605
19	-1.618436782	-1.478730949
19.1	-1.751866803	-1.187135742
19.2	-1.855666719	-0.8895038059
19.3	-1.930169612	-0.6037308031
19.4	-1.977217083	-0.3418744123
19.5	-1.999545064	-0.1098679425
19.6	-2.000222099	0.09130351065
19.7	-1.982238385	0.2639092169
19.8	-1.948260368	0.4119297528
19.9	-1.900519256	0.539942116
20	-1.840788347	0.6524482275
20.1	-1.770409413	0.7535430391
20.2	-1.690340433	0.8468000709
20.3	-1.601208161	0.9352772472
20.4	-1.503357224	1.021573927
20.5	-1.396892029	1.10789975
20.6	-1.281713324	1.19612888
20.7	-1.157550158	1.287824414
20.8	-1.023991774	1.384208698
20.9	-0.8805249697	1.486082567
21	-0.7265845447	1.593646162
21.1	-0.5616270896	1.7062237
21.2	-0.3852359793	1.821862771
21.3	-0.1972747175	1.936815781
21.4	0.001904482592	2.044984806
21.5	0.2112030407	2.137486671
21.6	0.4284927586	2.202658264
21.7	0.6503715794	2.22693762
21.8	0.8720678419	2.196953467
21.9	1.087614638	2.102775086
22	1.290374122	1.941452144
22.1	1.473866756	1.719284691
